epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.584,1.55265,4.78265,1.38391,0.72749,0.92227,0.93245,0.55367,1.346,3.76612,1.35844,0.00023338,0.00023338,0.00023338
2,1005.42,1.37494,1.90866,1.36488,0.4814,0.66628,0.47668,0.30127,1.2629,12.0887,1.27054,0.00043557,0.00043557,0.00043557
3,1439.32,1.32952,1.25527,1.29196,0.48158,0.24142,0.34684,0.18936,1.39877,12.2858,1.34201,0.000588251,0.000588251,0.000588251
4,1808.89,1.4118,1.0061,1.30156,0.96142,0.89347,0.95797,0.62363,1.29013,1.95621,1.27452,0.000691422,0.000691422,0.000691422
5,2207.47,1.38262,0.85383,1.31777,0.96174,0.94782,0.95348,0.55068,1.3722,1.06493,1.33819,0.000745082,0.000745082,0.000745082
6,2571.89,1.35106,0.71001,1.30663,0.94208,0.968,0.95788,0.5938,1.27177,0.91904,1.25351,0.000749233,0.000749233,0.000749233
7,2929.01,1.35338,0.70493,1.29691,0.89656,0.94413,0.93127,0.58355,1.39627,0.91803,1.29752,0.000676802,0.000676802,0.000676802
8,3286.93,1.32733,0.65159,1.30387,0.96494,0.968,0.963,0.60197,1.33383,0.69431,1.25665,0.000511769,0.000511769,0.000511769
9,3651.4,1.3063,0.62548,1.26593,0.96657,0.968,0.97901,0.624,1.32019,0.60199,1.24947,0.000346736,0.000346736,0.000346736
10,4029.51,1.27839,0.58711,1.27197,0.96413,0.968,0.97096,0.62513,1.27171,0.58715,1.22646,0.000181703,0.000181703,0.000181703
